sample_id,fold,y_true,y_pred
A01_11,1,4.84895165083104,2.0003192
A01_24,1,-1.56662514019413,-3.1131618
A01_26,1,-2.064806493438,-1.4780743
A01_31,1,-3.34988984712923,-1.0770344
A01_40,1,4.0608135684541,0.7084016
A01_45,1,6.7140541006844,3.4323044
A01_55,1,1.43970287344143,-2.1108778
A01_56,1,-0.310124002346112,1.3243514
A01_60,1,-4.06073601712516,-3.9932559
A01_61,1,-0.768832078840205,-0.1861414
A01_64,1,-0.683107316246008,-1.3077388
A01_67,1,4.27930748755262,0.7909772
A01_69,1,2.16780950534234,-0.7488915
A01_72,1,1.73140973668496,-1.0220702
A01_74,1,4.29520405940985,0.720048
A01_79,1,-0.829515406000928,1.3505403
A01_81,1,-0.126571480601125,-0.96515423
A01_89,1,6.80485654939775,1.4946123
A01_91,1,2.18100693988825,-0.32407787
A02_03,1,-1.65225752497082,-2.6263232
A02_08,1,1.55299747526372,1.1300238
A02_14,1,-1.8525990922802,-0.58669126
A02_17,1,-1.46722099980161,1.4446284
A02_27,1,-1.09723749243166,1.3293568
A02_46,1,8.21079365128711,2.2308896
A02_47,1,-0.748800272698762,-0.8330528
A02_49,1,1.28103644882116,1.8474898
A02_68,1,-2.70612753501559,-2.8404965
A02_79,1,-2.681339864417,0.10122791
A02_86,1,2.56863376685518,2.296997
A02_96,1,-4.48373526176529,-1.2339338
A03_14,1,-0.591202855108775,-1.7995712
A03_15,1,-2.55352826299891,-0.12938991
A03_24,1,-1.83374682375451,0.2817227
A03_25,1,-1.60249812231775,-1.8264076
A03_26,1,-0.81563760453938,-0.42250496
A03_29,1,-1.58342686486552,-2.9826844
A03_31,1,2.35616058222009,-0.7366696
A03_34,1,-3.5667810553012,-3.3972595
A03_37,1,-1.65190617001762,0.44607243
A03_51,1,-2.58309829024939,-0.35340238
A03_53,1,-2.67031613597314,-1.9573165
A03_60,1,0.0878638501714741,0.28223118
A03_63,1,-1.96499822092924,-2.1095424
A03_65,1,1.38716794702075,0.10237059
A03_72,1,-3.01248074424673,0.40850827
A03_75,1,0.659818527540637,-0.6284631
A03_76,1,3.01032181123744,1.1226755
A03_77,1,-4.55647761780751,-3.1642919
A03_81,1,-2.91325532017309,-1.4665577
A03_93,1,-3.66580154233561,-3.4972856
A04_02,1,-1.18107836563414,-4.1488967
A04_07,1,3.14254462369041,1.2814652
A04_11,1,4.8840855665114,3.125773
A04_16,1,-1.75270570639299,-1.9814197
A04_18,1,1.23229531289605,2.612192
A04_20,1,-2.45319736647698,-3.9354155
A04_21,1,2.92346080515373,1.8895447
A04_27,1,3.48758055876883,0.09968957
A04_31,1,-2.20511645923434,-1.3897809
A04_32,1,-2.44062292111161,0.8326294
A04_34,1,-0.314883924128465,1.7634538
A04_36,1,2.07731014844867,-0.9025956
A04_40,1,-3.68175130675241,-2.4280195
A04_43,1,-3.59520637900786,-1.5995221
A04_45,1,-1.79928810983872,0.31604525
A04_49,1,1.23779978034148,1.8028208
A04_53,1,-2.60295952825227,0.745164
A04_54,1,5.28445951035985,5.555326
A04_56,1,-0.022681240905818,3.1359
A04_93,1,-3.11751456646257,-3.3060753
A04_94,1,2.40539052126385,0.7874045
A05_02,1,-1.87323389642887,-1.3532842
A05_04,1,-0.622137492764083,1.0289325
A05_11,1,4.03767465808561,0.06007978
A05_13,1,1.89913254120848,0.6931041
A05_19,1,0.519303939124452,-1.119676
A05_25,1,-2.00851890715308,0.84242463
A05_28,1,0.506580955372186,-1.2126795
A05_29,1,-2.56652901172552,-1.4895493
A05_37,1,-2.31219464750151,-1.0615134
A05_43,1,-0.95083808823875,-0.6342105
A05_56,1,-0.797304731944188,-1.1978593
A05_73,1,0.204249379825311,-0.6597194
A05_76,1,-1.12672256546048,-0.78414375
A05_81,1,0.723834225733854,-0.89945203
A05_82,1,-3.61492495185663,-3.7981904
A05_85,1,1.39169882213511,0.1451151
A05_93,1,-1.9516655208042,-1.7042941
A06_02,1,-2.63126982420511,-0.9879284
A06_04,1,-0.412823243259716,1.140146
A06_10,1,-0.0342252712818811,1.7156655
A06_13,1,2.18560469766061,1.4206088
A06_22,1,-2.45075800844769,-1.4889166
A06_25,1,-1.68265121451549,-0.28184202
A06_39,1,2.14691885701803,0.95728385
A06_40,1,-4.40233046442095,-2.9205956
A06_44,1,-0.514691119224914,-3.5009134
A06_51,1,-2.97257133338558,-2.0561886
A06_53,1,3.23418051063765,0.19753084
A06_59,1,2.78219444642405,1.578714
A06_60,1,-0.423739409377636,-1.2205566
A06_73,1,-1.21841945754989,-2.0238001
A06_76,1,6.33894357093081,2.8186584
A06_79,1,-2.55893774733119,2.2564971
A06_83,1,0.448092390797179,0.7258385
A06_85,1,0.822280511015963,0.49792823
A06_86,1,-0.883671179869029,0.9254823
A06_87,1,-1.47253988459825,-0.22530434
A06_88,1,-0.848460905349077,0.4393858
A06_89,1,1.93502618847479,0.20027915
A06_91,1,2.15339325772145,0.9999468
A06_96,1,-2.83684173611207,-2.6260784
A07_05,1,7.11415597101558,2.37622
A07_06,1,-4.42823224056338,-2.0919962
A07_08,1,-2.99690609613007,-4.3398237
A07_12,1,-5.34124525828773,-2.685774
A07_15,1,-1.67828943226953,2.1513288
A07_21,1,0.629082406315506,-0.32534233
A07_22,1,-2.88189557946268,-2.0615368
A07_40,1,2.00550223725135,1.7700628
A07_42,1,-2.84322086590838,-2.944932
A07_57,1,-0.455589678816351,-1.3690215
A07_58,1,-2.1666107014865,-3.2996407
